version,date,gitCommit,decodingMode,totalBlocksDetected,groundTruthMatchedBlocks,groundTruthUnmatchedBlocks,averageCoreDialogueOCRSimilarity,averageDecorativeOCRSimilarity,wholePageAccuracyVsGroundTruth,bubbleFirstAccuracyVsGroundTruth,frameworkComparisonConsistencyPassed,cleanTextDiagnosticPassRate,passedBlocks,failedBlocks,translationFailureBreakdownJson,glyphMaskBlocksCount,backgroundFillAppliedCount,renderCollisionUnresolvedCount,renderTextTruncatedCount,notes
v4,2026-06-27,ad56eae,sampled,12,10,2,0.6196,0.8000,,0.7397,true,0.3636,,,,,,,,v5报告与README v21交叉核对；历史没有单独wholePageAccuracy和逐块OCR快照；LLM相关列为随机采样历史值
v5,2026-06-27,613ca14,sampled,14,10,4,0.6131,0.8000,0.6131,0.7397,true,0.3636,1,13,"{""ocrInputSuspect"":9,""translationLanguageQualityFailure"":4}",11,4,0,0,v5最终报告核对；LLM相关列仍为随机采样历史值；完整明细来自当前output而非v4快照
v6,2026-06-27,613ca14,deterministic,14,10,4,0.6131,0.8000,0.6131,0.7397,true,0.4545,1,13,"{""ocrInputSuspect"":10,""translationLanguageQualityFailure"":3}",11,4,0,0,deterministic seed 42 greedy; deterministicDecodingCheck outputsIdentical=true; v4 per-block OCR snapshot unavailable
v7,2026-06-27,d316ab2,deterministic,14,10,4,0.6131,0.8000,0.6131,0.7397,true,0.4545,1,13,"{""ocrInputSuspect"":10,""translationLanguageQualityFailure"":3}",11,4,0,0,bottom bubble crosstalk diagnosis; detection split attempts reverted after regression; final crop-wide diagnostic kept; target OCR unchanged
v8,2026-06-28,c5bd626,deterministic,14,10,4,0.6131,0.8000,0.6131,0.7397,true,0.4545,1,13,"{""ocrInputSuspect"":10,""translationLanguageQualityFailure"":3}",11,4,0,0,评估不通过，本轮只有证据没有架构改动；bubble-first独有#9和We need真实内容，但whole-page独有Let's Battle真实对话，不能完全替代
v9,2026-06-28,ce577b7,deterministic,14,10,4,0.6131,0.8000,0.6131,0.7397,true,0.4545,1,13,"{""ocrInputSuspect"":10,""translationLanguageQualityFailure"":3}",11,4,0,0,诊断为主；词表开关changedBlockIndexes=[]再次确认无效；确定性纠错候选只保留对照，不纳入主流程
v10,2026-06-28,8a6ad06,deterministic,16,13,3,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,15,"{""modelOutputFailure"":2,""ocrInputSuspect"":10,""translationLanguageQualityFailure"":3}",13,5,0,1,fusedWholePageBubble; fusionConsistency=true; fusedAccuracy=0.7384; fusedMatched=13; kept Lets Battle and added bubble-only What/We need; selection ground-truth-free
v11,2026-06-28,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,1,post-fusion cleanup 16->13; rejected duplicate suggestion/play-online/just fragments; bubble split audit diagnostic only; protected Lets Battle What/We need
v12,2026-06-28,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,1,"text-region crop OCR candidate diagnostics; 13 regions, 10 crop texts, 0 adopted, 13 rejected; no metric regression; protected Lets Battle/What/We need retained"
v13,2026-06-28,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,1,"bubble subregion diagnostics; 11 subregions, 2 clamp eligible, 2 subRegion clamps, TextRegion crop 13/10/0/13; no metric regression"
v14,2026-06-28,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,0,"bubble mask instance diagnostics; bubbleMaskReport instances=8 maskSafeLayoutBlocks=13 bboxFallbackBlocks=0 inconsistent=[4,5,11,12] renderOverflow=[]; cropMaskLow=[4,5,9,12]; TextRegion crop 13/10/0/13"
v15,2026-06-28,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,0,"bubble assignment correction and conservative split candidates; assignment recommended=[5,11] appliedCrop=[5]; split candidates=6 eligible=3 appliedCrop=[5,9,10]; TextRegion crop 13/10/0/13; protected texts retained"
v16,2026-06-28,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,0,"textBox/segment evidence diagnostics; textBox candidates=13 eligible=6 usedForCrop=[] rejected=[2,4,5,7,9,11,12]; segment usableCrop=[0,1,2,3,6,7,8,9,10,11] weak=[4,5,12]; TextRegion crop 13/10/0/13; no metric regression"
v17,2026-06-29,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,0,"crop experiment shadow matrix; candidates=52 controls=13 ocrSucceeded=43 betterThanControl=15 promoted=[] stopped=[2,4,5,6,7,9,11,12]; max candidates per block=4; TextRegion crop 13/10/0/13; no main input change"
v18,2026-06-29,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,0,"pre-crop TextBox planning shadow validation; plans=37 eligible=29 selectedBlocks=[0,1,2,3,5,6,7,8,9,10,11] stopped=[4,12]; cropExperiment candidates=48 controls=13 ocrSucceeded=36 betterThanControl=13 promoted=[]; adoptedCount=0"
v19,2026-06-29,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,0,"TextBox plan failure attribution; evaluatedPlans=37 evaluatedShadowCandidates=35 betterThanControlCandidates=13 promoted=0 stopBlocks=[2,3,4,5,7,9,11,12] continueGeometry=[1,6,10] blocked=[1,2,4,5,6,9,10]; main input unchanged"
v20,2026-06-29,uncommitted,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,0,"line-level TextBox and deskew shadow validation; targets=[1,6,10] plans=12 eligible=12 candidates=12 ocrSucceeded=12 betterThanControl=5 promoted=[] stopped=[1,6,10]; main input/adoptedCount unchanged"
v21,2026-06-29,015c58f,deterministic,13,13,0,0.7106,0.8000,0.5972,0.7300,true,0.4545,1,12,"{""modelOutputFailure"":2,""ocrInputSuspect"":7,""translationLanguageQualityFailure"":3}",11,4,0,0,external artifact readiness gate; manifest/textBoxes/bubbleMask/segmentMask missing; verdict=manifestMissing nextAction=stopUntilArtifactsProvided; no main input/adoptedCount change
